Категория;Название;Цена;Артикул;Картинка;описание
Гидравлические группы;Тарелка мембраны для газовой колонки BAXI SIG-2 11p, 11i, 14i (722305400);135 руб.;722305400;https://aquatermix.ru/image/cache/data-121111-722305400-1-800x600.jpg;"
Артикул запчасти: 722305400"
Кольца, прокладки;Клипса плоская d. 12 мм для котлов BAXI (710046700);149 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345678-710046700-1-800x600.jpg;"
Клипса плоская d. 12 мм для газовых котлов BAXI"
Кольца, прокладки;Уплотнение электрода розжига для котлов BAXI (710185300);166 руб.;710185300;https://aquatermix.ru/image/cache/data-1111111111-710185300-800x600.jpg;"
Артикул запчасти: 710185300"
Платы;Предохранитель плавкий (2 А- 250 В) для котлов BAXI (9950580) JJJ009950580;176 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-9950580-800x600.jpg;"
Артикул запчасти: 9950580 (JJJ009950580)"
Кольца, прокладки;Клипса плоская d. 18 мм для котлов BAXI (710045400);179 руб.;710045400;https://aquatermix.ru/image/cache/data-121234-710045400-1-800x600.jpg;"
Артикул запчасти: 710045400"
Датчики, электроды;Колпачок электрода изоляционный для котлов BAXI (5407830);187 руб.;5407830;https://aquatermix.ru/image/cache/data-1212-5407830-1-800x600.jpg;"
Артикул запчасти: 5407830"
Кольца, прокладки;Шнур изоляционный D6X615 мм для котлов BAXI (5212780);187 руб.;5212780;https://aquatermix.ru/image/cache/data-12345678-5212780-1-800x600.jpg;"
Артикул запчасти: 5212780"
Кольца, прокладки;Уплотнение горелки для котлов BAXI (710624300) 5410740;231 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000-710624300-800x600.jpg;"
Артикул запчасти: 710624300, 5410740"
Датчики, электроды;Кабель датчика пламени для котлов BAXI (8418870);241 руб.;8418870;https://aquatermix.ru/image/cache/data-000000000001-8418870-1-800x600.jpg;"
Артикул запчасти: 8418870"
Кольца, прокладки;Клипса крепежная теплообменника BAXI (5113650) JJJ005113650;"266 руб.                
Цена в бонусных баллах: 266";5113650;https://aquatermix.ru/image/cache/data-12345678-5113650-21-800x600.jpg;"
Артикул запчасти: 5113650"
Платы;Провод электрический электрода розжига для BAXI Eco Nova (6305100042);"289 руб.                
Цена в бонусных баллах: 289";6305100042;https://aquatermix.ru/image/cache/data-6305100042-1-800x600.jpg;"
Артикул запчасти: 6305100042"
Кольца, прокладки;Уплотнение фланца овальное для котлов BAXI Slim (3400470) JJJ003400470;294 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-1baxi-3400470-800x600.jpg;"
Артикул запчасти: 3400470, JJJ003400470"
Датчики, электроды;Кабель электрода зажигания для котлов BAXI (8419050) JJJ008419050;306 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-8419050-21-800x600.jpg;"
Артикул запчасти: 8419050, JJJ008419050"
Кольца, прокладки;Клипса крепежная трубки бай-пасса для котлов BAXI (8380850);354 руб.;8380850;https://aquatermix.ru/image/cache/data-12345678-8380850-21-800x600.jpg;"
Артикул запчасти: 8380850"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) BDR 100°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000001-bdr100-1-800x600.jpg;"
Производитель: BDR Control"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) BDR 105°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000001-bdr105-1-800x600.jpg;"
Производитель: BDR Control"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) BDR 85°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000001-bdr85-1-800x600.jpg;"
Производитель: BDR Control"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) BDR 95°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000001-bdr95-1-800x600.jpg;"
Производитель: BDR Control"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) KSD301 100°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-ksd301100-1-800x600.jpg;"
Производитель: KSD"
Датчики, электроды;Термостат перегрева универсальный (датчик тяги) KSD301 90°C для котлов;390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-ksd30190-1-800x600.jpg;"
Производитель: KSD"
Моторы, трехходовые клапаны;Уплотнение штока в сборе TS для котлов BAXI Eco, Luna (5630250.A) JJJ005630250.A;461 руб. 390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-5630250.a-800x600.jpg;"
Артикул запчасти: 5630250.A, JJJ005630250.A"
Платы;Ручка для котлов BAXI Eco-3 Compact (5411540) JJJ005411540;396 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345678-5411540-21-800x600.jpg;"
Ручка для настенных газовых котлов BAXI моделей:"
Моторы, трехходовые клапаны;Уплотнение штока в сборе TS для котлов BAXI Nuvola, Nuvola-3, Nuvola-3 Comfort (5634820.A) JJJ005634820.A;399 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-5634820.a-1-800x600.jpg;"
Артикул запчасти: 5634820.A, JJJ005634820.A"
Датчики, электроды;Электрод розжига для газовой колонки BAXI SIG-2 11p (70553705) 722305200;400 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-111111111111-722305200-1-800x600.jpg;"
Артикул запчасти: 70553705, 722305200"
Датчики, электроды;Кабель электрода зажигания для котлов BAXI (710430800) 8612400, JJJ008612400;403 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345-710430800-21-800x600.jpg;"
Артикул запчасти: 710430800, 8612400 (JJJ008612400)"
Кольца, прокладки;Уплотнение горелки для котлов BAXI (721543100);420 руб.;721543100;https://aquatermix.ru/image/cache/data-000111-721543100-22-2-800x600.jpg;"
Артикул запчасти: 721543100"
Вентиляторы;Кольцо зажимное для котлов BAXI (600530);425 руб.;600530;https://aquatermix.ru/image/cache/data-00000000000-600530-01.jpg-800x600.jpg;"
Артикул запчасти: 600530"
Кольца, прокладки;Клипса крепежная теплообменника BAXI (5112510) JJJ005112510;429 руб.;5112510;https://aquatermix.ru/image/cache/data-12345-5112510-1-800x600.jpg;"
Артикул запчасти: 5112510"
Гидравлические группы;Трубка заполнения системы для котлов BAXI Slim (3618170);434 руб.;3618170;https://aquatermix.ru/image/cache/data-1213-3618170-1-800x600.jpg;"
Артикул запчасти: 3618170"
Моторы, трехходовые клапаны;Мембрана для котлов BAXI Eco, Luna (5405320);435 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-5405320-21-800x600.jpg;"
Мембрана для настенных газовых котлов BAXI Eco, Luna, Nuvola, Nuvola-3, Nuvola-3 Comfort"
Кольца, прокладки;Кольцо уплотнительное циркуляционного насоса Wilo для BAXI;450 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000-dsc-0038-800x600.jpg;"
Кольцо уплотнительное циркуляционного насоса Wilo для настенных газовых котлов BAXI."
Платы;Ручка для котлов BAXI Main (5409540) JJJ005409540;472 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345678-5409540-21-800x600.jpg;"
Артикул запчасти: 5409540, JJJ005409540"
Датчики, электроды;Датчик температуры NTC накладной 18 мм ITS 208 для котлов BAXI (8435500.ITS);"700 руб. 490 руб.

Цена в бонусных баллах: 490";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-8435500.its-1-800x600.jpg;"
Артикул запчасти: 8435500.ITS, JJJ008435500.ITS"
Датчики, электроды;Датчик Холла для котлов BAXI Eco Classic, Eco Nova (6610410009);"700 руб. 490 руб.

Цена в бонусных баллах: 260";6610410009;https://aquatermix.ru/image/cache/data-8650-1-800x600.jpg;"
Артикул запчасти: 6610410009"
Датчики, электроды;Турбинка датчика протока для котлов BAXI Eco Classic, Eco Nova (6610410004);"700 руб. 490 руб.

Цена в бонусных баллах: 260";6610410004;https://aquatermix.ru/image/cache/data-0020123548-1-800x600.jpg;"
Артикул запчасти: 6610410004"
Гидравлические группы;Мембрана для газовой колонки BAXI SIG-2 11p, SIG-2 11i, SIG-2 14i (722305500);500 руб.;722305500;https://aquatermix.ru/image/cache/data-000011-722305500-1-800x600.jpg;"
Артикул запчасти: 722305500"
Alphatherm;Термостат перегрева универсальный (датчик тяги) SIT 110°C;500 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-sittrm-1-800x600.jpg;"
Производитель: SIT Group"
Alphatherm;Термостат перегрева универсальный (датчик тяги) SIT 75°C;500 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-sittrm-1-800x600.jpg;"
Производитель: SIT Group"
Alphatherm;Термостат перегрева универсальный (датчик тяги) SIT 95°C;500 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-sittrm-1-800x600.jpg;"
Производитель: SIT Group"
Гидравлические группы;Трубка слива для котлов BAXI Main (5667990) JJJ005667990;539 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-1baxi-5667990-800x600.jpg;"
Трубка слива для настенных газовых котлов BAXI моделей:"
Моторы, трехходовые клапаны;Мембрана гидравлического переключателя для котлов BAXI Eco, Luna (5405330);548 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-5405330-21-800x600.jpg;"
Артикул запчасти: 5405330, JJJ005405330"
Краны;Кран-букса крана подпитки Kramer для котлов BAXI Eco Classic, Eco Nova (6610410007.A);890 руб. 549 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0001111-6610410007.a-1-800x600.jpg;"
Артикул запчасти: 6610410007.A"
Датчики, электроды;Термостат перегрева 105°C для котлов BAXI Eco Classic, Eco Nova (200025383) 99516121P;551 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1111111111-200025383-800x600.jpg;"
Артикул запчасти: 200025383, 99516121P"
Баки;Трубка расширительного бака для котлов BAXI Eco Classic, Eco Nova (6310310719);554 руб.;6310310719;https://aquatermix.ru/image/cache/data-0000000000-6310310719-800x600.jpg;"
Артикул запчасти: 6310310719"
Моторы, трехходовые клапаны;Стержень рабочий микропереключателя для котлов BAXI Eco, Luna (5630260) JJJ005630260;590 руб. 560 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-122-5630260-21-800x600.jpg;"
Стержень рабочий микропереключателя для настенных газовых котлов BAXI моделей:"
Ariston;Датчик температуры накладной универсальный ITS 14 мм для котлов;"1 146 руб. 590 руб.

Цена в бонусных баллах: 590";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8435510.a-1-800x600.jpg;"
Производитель: I.T.S, Италия"
Датчики, электроды;Датчик температуры NTC накладной 14 мм для котлов BAXI Main Four 18 F, Westen Quasar D 24 F (8435510.ITS) JJJ008435510.ITS;"1 146 руб. 590 руб.

Цена в бонусных баллах: 590";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8435510.a-1-800x600.jpg;"
Артикул запчасти: 8435510.ITS, JJJ008435510.ITS"
Насосы;Конденсатор 2 mF для циркуляционного насоса и прочего оборудования;"990 руб. 590 руб.

Цена в бонусных баллах: 590";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-kondens2-1-800x600.jpg;"
Конденсатор 2 mF (микрофарада) для циркуляционных насосов Wilo, Grundfos и других. А также для прочего оборудования, где необходимо использование конденсатора с указанными параметрами."
Насосы;Конденсатор 2,5 mF для циркуляционного насоса и прочего оборудования;"990 руб. 590 руб.

Цена в бонусных баллах: 590";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-kondens25-1-800x600.jpg;"
Конденсатор 2,5 mF (микрофарада) для циркуляционных насосов Wilo, Grundfos и других. А также для прочего оборудования, где необходимо использование конденсатора с указанными параметрами."
Моторы, трехходовые клапаны;Пружина коническая для котлов BAXI (620210) JJJ000620210;598 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1111111-620210-21-800x600.jpg;"
Пружина коническая для газовых котлов BAXI моделей:"
Вентиляторы;Штуцер для анализа продуктов сгорания для котлов BAXI (5409480) JJJ005409480;602 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-5409480-1-800x600.jpg;"
Артикул запчасти: 5409480, JJJ005409480"
Датчики, электроды;Пьезоэлемент для газовых колонок Baxi SIG-2 11p (722304700);614 руб.;722304700;https://aquatermix.ru/image/cache/data-000000000001-722304700-1-800x600.jpg;"
Артикул запчасти: 722304700"
Моторы, трехходовые клапаны;Тарелочка системы отопления в сборе для котлов BAXI Eco, Luna (5646170) JJJ005646170;626 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345678-5646170-21-800x600.jpg;"
Артикул запчасти: 5646170, JJJ005646170"
Датчики, электроды;Микропереключатель в сборе для котлов BAXI Eco, Luna (5625770);660 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1111111-5625770-21-800x600.jpg;"
Артикул запчасти: 5625770, JJJ005625770"
Датчики, электроды;Датчик температуры NTC RED Brahma универсальный для котлов BAXI;"665 руб.                
Цена в бонусных баллах: 665";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-001-200025382.a-1-800x600.jpg;"
Производитель: Brahma S.p.A., Италия"
Датчики, электроды;Датчик температуры NTC погружной для BAXI Eco Classic, Eco Nova (84354011P) 200025382;"665 руб.                
Цена в бонусных баллах: 665";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-001-200025382.a-1-800x600.jpg;"
Артикул запчасти: 84354011P, 200025382, 8435401, YYY84354011P, YYY008435401"
Датчики, электроды;Датчик температуры NTC погружной Brahma для котлов BAXI (721309400.A) 710056200.A;690 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00011-7351-1-800x600.jpg;"
Артикул запчасти: 721309400.A, 710056200.A"
Моторы, трехходовые клапаны;Заглушка гидравлической системы Kramer для котлов BAXI (600750.A);1 133 руб. 690 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-600750.a-1-800x600.jpg;"
Артикул запчасти: 600750.A, JJJ000600750"
Кольца, прокладки;Уплотнение камеры сгорания для котлов BAXI (5411000);701 руб.;5411000;https://aquatermix.ru/image/cache/data-000111-5411000-800x600.jpg;"
Артикул запчасти: 5411000"
Баки;Трубка расширительного бака для котлов BAXI Eco Compact, Eco-5 Compact, Main-5, Westen Pulsar E (711412700);763 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-711412700-21-800x600.jpg;"
Артикул запчасти: 711412700, 710472900"
Баки;Трубка расширительного бака для котлов BAXI Main-5 (711250900);"763 руб.                
Цена в бонусных баллах: 763";711250900;https://aquatermix.ru/image/cache/data-00000-711250900-1-800x600.jpg;"
Артикул запчасти: 711250900"
Моторы, трехходовые клапаны;Тарелочка системы отопления в сборе для котлов BAXI (605760) JJJ000605760;781 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-123-605760-21-800x600.jpg;"
Артикул запчасти: 605760, JJJ000605760"
Датчики, электроды;Кабель электрода зажигания для котлов BAXI (8510970);782 руб.;8510970;https://aquatermix.ru/image/cache/data-000000000001-8510970-1-800x600.jpg;"
Артикул запчасти: 8510970"
Насосы;Воздухоотводчик автоматический для котлов BAXI, Westen (7219215) 710139500;950 руб. 785 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000000-0020014161-800x600.jpg;"
Артикул запчасти: 7219215, 710139500"
Моторы, трехходовые клапаны;Картридж трехходового клапана Kramer для котлов BAXI (721403800) 710144100;990 руб. 790 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00011-3800kr-1-800x600.jpg;"
Артикул запчасти: 721403800, 710144100"
Краны;Кран слива для котлов BAXI (710045500);908 руб. 790 руб.;710045500;https://aquatermix.ru/image/cache/data-000000111111-710045500-1-800x600.jpg;"
Артикул запчасти: 710045500"
Кольца, прокладки;Уплотнение вентилятора для котлов BAXI (5412270);"794 руб.                
Цена в бонусных баллах: 794";5412270;https://aquatermix.ru/image/cache/data-12345678-5412270-1-800x600.jpg;"
Артикул запчасти: 5412270"
Моторы, трехходовые клапаны;Клапан предохранительный 3 бар для котлов BAXI, Westen (710071200);"905 руб. 798 руб.

Цена в бонусных баллах: 798";710071200;https://aquatermix.ru/image/cache/data-000011-710071200-1-800x600.jpg;"
Артикул запчасти: 710071200"
Датчики, электроды;Переключатель режимов 4 положения для котлов BAXI (8434550);"798 руб.                
Цена в бонусных баллах: 798";8434550;https://aquatermix.ru/image/cache/data-8434550-1-800x600.jpg;"
Артикул запчасти: 8434550"
Моторы, трехходовые клапаны;Клапан предохранительный 3 бар для котлов BAXI (9951170) JJJ009951170;"906 руб. 799 руб.

Цена в бонусных баллах: 799";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000111-1170-1-800x600.jpg;"
Артикул запчасти: 9951170, JJJ009951170"
Кольца, прокладки;Уплотнение камеры сгорания для котлов BAXI (711405000);820 руб.;711405000;https://aquatermix.ru/image/cache/data-12345678-711405000-1-800x600.jpg;"
Артикул запчасти: 711405000"
Датчики, электроды;Электрод розжига для котлов BAXI Eco Classic, Eco Nova (200025363) 611410032, 0611410032;824 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000001-200025363-1-800x600.jpg;"
Артикул запчасти: 200025363, 611410032, 0611410032"
Краны;Кран-букса крана подпитки для котлов BAXI Eco Classic, Eco Nova (6610410007);845 руб.;6610410007;https://aquatermix.ru/image/cache/data-121111-6610410007-1-800x600.jpg;"
Артикул запчасти: 6610410007"
Baxi;Конденсатосборник для котлов BAXI (710447300);876 руб.;710447300;https://aquatermix.ru/image/cache/data-000000000001-710447300-1-800x600.jpg;"
Артикул запчасти: 710447300"
Баки;Трубка расширительного бака для BAXI Eco-4s, Eco Home (710054000);876 руб.;710054000;https://aquatermix.ru/image/cache/data-00000001-710054000-1-800x600.jpg;"
Артикул запчасти: 710054000"
Датчики, электроды;Датчик температуры NTC для котлов BAXI Eco Classic, Eco Nova (200025366);889 руб.;200025366;https://aquatermix.ru/image/cache/data-001-200025366-1-800x600.jpg;"
Артикул запчасти: 200025366"
Датчики, электроды;Датчик протока ГВС GTE для котлов BAXI MAIN Four (5667220.G);"1 400 руб. 890 руб.

Цена в бонусных баллах: 890";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000111-65100296.g-1-800x600.jpg;"
Артикул запчасти: 5667220.G"
Моторы, трехходовые клапаны;Клапан предохранительный Pakkens 3 бар для котлов BAXI (9950600.A) JJJ009950600.A;"1 077 руб. 890 руб.

Цена в бонусных баллах: 890";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000001-st12331-1-800x600.jpg;"
Артикул запчасти: 9950600.A, JJJ009950600.A"
Краны;Кран наполнения системы в сборе G1/4 Novasfer для котлов BAXI Main, Main Digit (5667980.A);"1 190 руб. 900 руб.

Цена в бонусных баллах: 900";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0001111-5667980.a-1-800x600.jpg;"
Артикул запчасти: 5667980.A, JJJ005667980.A"
Термоизоляция;Термоизоляционная панель задняя для котлов BAXI (711473200);901 руб.;711473200;https://aquatermix.ru/image/cache/data-1211-711473200-1-800x600.jpg;"
Артикул запчасти: 711473200"
Моторы, трехходовые клапаны;Уплотнение штока в сборе для котлов BAXI Nuvola, Nuvola-3, Nuvola-3 Comfort (5634820) JJJ005634820;902 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000111-5634820-1-800x600.jpg;"
Артикул запчасти: 5634820, JJJ005634820"
Краны;Кран слива для котлов BAXI Main-5 (710473500);908 руб.;710473500;https://aquatermix.ru/image/cache/data-0000000000-710473500-1-800x600.jpg;"
Артикул запчасти: 710473500"
Моторы, трехходовые клапаны;Уплотнение штока в сборе для котлов BAXI Eco, Luna (5630250) JJJ005630250;963 руб. 914 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-5630250-21-800x600.jpg;"
Артикул запчасти: 5630250, JJJ005630250"
Датчики, электроды;Кабель электрода зажигания для котлов BAXI (8513520);917 руб.;8513520;https://aquatermix.ru/image/cache/data-000000000001-8513520-1-800x600.jpg;"
Артикул запчасти: 8513520"
Платы;Клавиши (кнопки) для котлов BAXI Eco Four, Fourtech, Main Four, Main-5 (5414010);972 руб.;5414010;https://aquatermix.ru/image/cache/data-000000111111-5414010-01-800x600.jpg;"
Артикул запчасти: 5414010"
Датчики, электроды;Датчик температуры NTC для котлов BAXI Eco Classic, Eco Nova (06054000151P) 605400015;974 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001111-7861235-1-800x600.jpg;"
Артикул запчасти: 06054000151P, 605400015"
Датчики, электроды;Датчик протока ГВС Bitron для котлов BAXI Main Four (5667220) JJJ005667220;"1 500 руб. 990 руб.

Цена в бонусных баллах: 990";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-5667220-1-800x600.jpg;"
Артикул запчасти: 5667220, JJJ005667220"
Датчики, электроды;Датчик Холла (протока) в сборе TS для котлов BAXI Eco Four, Luna-3, Luna-3 Comfort (8435380.A) JJJ00843538.A;1 244 руб. 990 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8435380.a-1-800x600.jpg;"
Артикул запчасти: 8435380.A, JJJ008435380.A"
Моторы, трехходовые клапаны;Картридж трехходового клапана для котлов BAXI (627880) JJJ000627880;"1 500 руб. 990 руб.

Цена в бонусных баллах: 990";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-01-627880-1-800x600.jpg;"
Артикул запчасти: 627880, JJJ000627880"
Краны;Кран наполнения системы Kramer для котлов BAXI (620890.A) JJJ000620890.A;1 400 руб. 990 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001111-620890.a-1-800x600.jpg;"
Артикул запчасти: 620890.A, JJJ000620890.A"
Датчики, электроды;Клапан для газовой колонки BAXI SIG-2 11p, SIG-2 11i, SIG-2 14i (722303000);995 руб.;722303000;https://aquatermix.ru/image/cache/data-a-1baxi-722303000-1-800x600.jpg;"
Артикул запчасти: 722303000"
Гидравлические группы;Трубка выхода горячей воды для бойлеров BAXI Combi 80 L (3620720) JJJ003620720;998 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-3620720-1-800x600.jpg;"
Артикул запчасти: 3620720, JJJ003620720"
